"Key","SourceString","Comment"
"gift_artisanstoolkit_description","For a creative playstyle. Grants a bundle of leathers and pigments for more creative freedom early on.","Effect of choosing the starting gift ""Artisan's bundle"", see Day_Start event"
"gift_familyheirloom_description","For a story-focused playstyle. Grants a unique family heirloom, passed down through prior generations of your lineage.","Effect of choosing the starting gift ""Family heirloom"", see Day_Start event and Items,familyheirloom_description"
"gift_bottleofspirit_description","For an optimisation-focused playstyle. Grants a bottle of precious liquor to boost your progress.","Effect of choosing the starting gift ""Old World Spirit"", see Day_Start event and Items,oldworldspirit_description"
"gender_male_description","You will be addressed as male.","Effect of choosing male gender during game start."
"gender_female_description","You will be addressed as female.","Effect of choosing female gender during game start."
"gender_neutral_description","You will largely be addressed in a gender-neutral way. At times, generic masculine might be used.","Effect of choosing neutral gender during game start."
"gameplayrating_impact_title","Impact","A rating of how hard a sword hits."
"gameplayrating_impact_description","How hard the sword hits.

A sword hits hardest when it’s heavy and has a lot of mass near the point.",""
"gameplayrating_hitspeed_title","Speed","A rating of how fast a sword can be swung/redirected."
"gameplayrating_hitspeed_description","How swiftly the blade can be swung or redirected.

A sword’s speed is highest when the sword is light and has little mass near the point. A longer handle further improves this rating.",""
"gameplayrating_agility_title","Mobility","A rating of how easily a sword's hilt can be repositioned to defend or change stance."
"gameplayrating_agility_description","How easily the hilt can be repositioned to defend or change stance.

A sword is most mobile when it’s light and has little weight in the hilt area.",""
"gameplayrating_sharpness_title","Sharpness","A rating of how well a sword's cross-section of the sword can cut through a target."
"gameplayrating_sharpness_description","How well the cross-section of the sword can cut through a target.

The steep edge angle of a wide and thin blade provides the best rating. A smooth cross-section is preferable – a strong central ridge can impede the cut.",""
"gameplayrating_stiffness_title","Stiffness","A rating of how stiff a blade is, i.e. with how much force you can thrust before the blade starts to bend."
"gameplayrating_stiffness_description","How fiercely the sword can thrust before it starts to bend.

This rating is improved by making your blade thicker, at the expense of more weight. Experiment with distal tapering, hollow cross-sections and fullers to keep the weight low.",""
"gameplayrating_point_title","Point","A rating of how acute a sword's tip/point is."
"gameplayrating_point_description","How effective the sword’s point is at piercing targets.

An acute, gradual point is the ideal shape for this rating. This might take away from the sword’s Impact – experiment with the blade’s width, thickness and tapering to find the right balance.",""
"celebration_levelup_supertitle","You reached","1st line of a two-line celebration message displayed upon level-up. The 2nd line shows ""Level 5"". If a literal translation is not possible, feel free to adjust this to something like ""Level up!"" or ""Level reached!"""
"notification_youreceived","You received:","Headline displayed in in-game notifications when the player receives currency, experience points or items."
"notification_treasurehunter","Chlodo found:","Headline displayed in in-game notifications when the dog Chlodo brings and item to the player"
"notification_youlost","You lost:","Headline displayed in in-game notifications when the player loses currency or items."
"notification_journal","Journal entry:","Headline displayed in in-game notifications when a new entry has been added to the quest journal/diary."
"notification_buff","You are now:","Headline displayed in in-game notifications when a buff/debuff is added. Buffs can be positive or negative for the player, so please keep it neutral. All buffs are adjectives, so this will read something like: ""You are now: Inspired"""
"notification_reputationgained","Reputation gained:","Headline displayed in in-game notifications when the player receives reputation with an in-game faction."
"notification_reputationlost","Reputation lost:","Headline displayed in in-game notifications when the player loses reputation with an in-game faction."
"notification_currency","{0} Thalers","Notification displayed to the player when currency (in-game name: Thalers) is received. {0}=Amount."
"notification_xp","{0} XP","Notification displayed to the player when experience points are received. {0}=Amount."
"notification_item","{0}× {1}","Notification displayed to the player when an item is received. {0}=Count, {1}=Item display name."
"systemmessage_factionreputation","Faction reputation: {0} {1}","Message displayed to the player when faction reputation is gained or lost. The name of the faction is inserted for {0}. The amount (always with sign, e.g. +300, -200) is inserted for {1}."
"systemmessage_locationunlocked","A new location has been marked on your map: {0}","Message displayed to the player when a new location is encountered."
"systemmessage_locationknown","You already know this location.","Message displayed to the player when a new location would have been encountered, but is already known."
"systemmessage_vendorunlocked","A new vendor is available from your forge: {0}","Message displayed to the player when a new vendor is encountered."
"systemmessage_vendorknown","You already know this vendor.","Message displayed to the player when a new vendor would have been encountered, but is already known."
"systemmessage_factionrankfail","Requires higher faction rank: {0}","Displayed when the player cannot proceed in dialogue because their reputation with a faction is too low. The faction's name is inserted for {0}."
"systemmessage_factionrankpass","Faction rank requirement met: {0}","Displayed when the player was able to proceed in dialogue because of their faction rank. The faction's name is inserted for {0}."
"campaignmode_visitvendors","Visit vendors","Caption on a button to open a vendor visit menu."
"campaignmode_gameover","Game Over","Headline on the game over screen. Usually displayed when the player character has died."
"campaignmode_gameover_loadhint","Press any key to load the last savegame.","Message for the player in the game-over screen to load the last save-game."
"game_tutorial_title","Tutorial","Headline in tutorial windows."
"game_tutorial_entry","Entry {0} of {1}","When cycling through past tutorial messages, this will display the current number {0} of the total number {1} of encountered tutorial entries."
"swordtrait_handedness_onehanded","One-handed","A trait of a sword: The grip section is good for one-handed wielding."
"swordtrait_handedness_onehanded_tooltip","Craft a short hilt for one-handed use.",""
"swordtrait_handedness_handandahalf","Hand-and-a-half","A trait of a sword: The grip section is good for mixed one- and two-handed wielding."
"swordtrait_handedness_handandahalf_tooltip","Craft a hilt of medium length for both one-handed and two-handed use. Use one longer or two shorter grip parts to achieve this.",""
"swordtrait_handedness_twohanded","Two-handed","A trait of a sword: The grip section is good for two-handed wielding."
"swordtrait_handedness_twohanded_tooltip","Craft a long hilt for two-handed use. Connect two grip parts to achieve this.",""
"swordtrait_curvature_straight","Straight blade","A trait of a sword: The blade is straight."
"swordtrait_curvature_straight_tooltip","Craft a blade that is perfectly straight.",""
"swordtrait_curvature_slightlycurved","Slightly curved blade","A trait of a sword: The blade is slightly curved."
"swordtrait_curvature_slightlycurved_tooltip","Craft a blade with a mild curvature.",""
"swordtrait_curvature_stronglycurved","Strongly curved blade","A trait of a sword: The blade is strongly curved."
"swordtrait_curvature_stronglycurved_tooltip","Craft a blade with a strong curvature.",""
"swordtrait_colourfulhilt","Colourful hilt","A trait of a sword: The blade uses various different colours."
"playtest_welcome_title","Welcome to the
BLADESONG DEMO","Welcome Message when launching the game. Headline."
"playtest_welcome_text","<b>NEW GAME</> starts Bladesong’s Story Mode with a tutorial and a preview of gameplay, progression and narrative.

<b>CREATIVE MODE</> allows for pure expressive swordmaking without gameplay restrictions.","Welcome Message when launching the game."
"game_analytics_note","We are gathering anonymous player statistics to help us improve the game.","Welcome Message when launching the game. Disclaimer."
"game_analytics_button_decline","No analytics","Button caption, the player declines analytics"
"playtest_end_title","Thank you for playing the Bladesong Demo!","Displayed when the player has played through the available story."
"bladesong_releaseinfo","Bladesong launches into Early Access in 2025!",""
"localization_disclaimer","A small amount of text in this version will be displayed in English as it is not yet translated. The release version of the game will be fully translated.","Disclaimer displayed at the start of the game"
"campaignmode_section_swordphysics","Physics","Section title for sword physical properties like blade length, weight and balance"
"campaignmode_section_swordratings","Ratings","Section title for sword ratings like stiffness, speed or impact"
"campaignmode_section_swordstyle","Style","Section title for sword style, listing materials, colours/pigments and used books"
"campaignmode_section_swordtraits","Traits","Section title for sword traits, like one-/two-handed, straight/curved, or Colourful Hilt"
"campaignmode_section_bladeabilities","Blade Abilities","Section title for abilities used to edit the blade"
"campaignmode_section_swordpartlibrary","Library","Section title for the library of sword parts and materials"
"campaignmode_caption_resource","Resource","Caption in a table of resources used during swordmaking. Denotes the name of the resources."
"campaignmode_caption_resource_owned","Owned","Caption in a table of resources used during swordmaking. Denotes how many of a resource the player still owns."
"campaignmode_caption_resource_used","Used","Caption in a table of resources used during swordmaking. Denotes how many of a resource was spend on the current sword."
"campaignmode_caption_noresourcesused","No resources used.","Displayed in a table of resources if the player has not used any resources whatsoever."
"campaignmode_caption_resource_tooltip","{0}: spent {1} of {2} available","Tooltip displayed to the player when they hover a resource display. Tells them how much of a resource (name inserted for {0}) they have spent (amount inserted for {1}), and how much they have available in total (inserted for {2})"
"campaignmode_unlocked_headline","Unlocked:","Headline displayed during level ups, above a list of unlocked new abilities or boons"
"campaignmode_unlocked_bladetapering","Blade Tapering","A new gameplay feature unlocked with level ups"
"campaignmode_unlocked_extracontrols","Advanced Blade Ability Controls","A new gameplay feature unlocked with level ups"
"campaignmode_unlocked_swordpartscaling","Sword Part Scaling","A new gameplay feature unlocked with level ups"
"campaignmode_unlocked_swordpartbending","Sword Part Bending","A new gameplay feature unlocked with level ups"
"campaignmode_unlocked_engravings","Engravings","A new gameplay feature unlocked with level ups"
"campaignmode_unlocked_goldsmithing","Goldsmithing","A new gameplay feature unlocked with level ups"
"campaignmode_unlocked_asymmetry","Asymmetrical Blades","A new gameplay feature unlocked with level ups"
"campaignmode_unlocked_fullers","Fullers","A new gameplay feature unlocked with level ups. A fuller is a central groove in the blade of the sword."
"campaignmode_unlocked_sidefullers","Side Fullers","A new gameplay feature unlocked with level ups. Side fullers are non-central, often symmetrical grooves in the blade of the sword."
"campaignmode_unlocked_curvedblades","Curved Blades","A new gameplay feature unlocked with level ups"
"campaignmode_unlocked_bladepolishing","Blade Polishing","A new gameplay feature unlocked with level ups"
"campaignmode_unlocked_plusactionpoints","+{Add} Action Points <AP/>","A gameplay improvement (more Action Points) unlocked with level ups. Amount is inserted for {Add}"
"item_interaction_salvage","Salvage","An item interaction displayed next to the keybinding. This destroys/dismantles and item and yields resources in exchange."
"item_interaction_consume","Consume","An item interaction displayed next to the keybinding. This consumes an item for (usually) positive effects."
"item_interaction_open","Open","An item interaction displayed next to the keybinding. This opens a container like a box or a pouch to retrieve what's inside."
"generic_controls_hold","{0} (hold)","Generic string to use for button/key hold interactions, e.g. ""[F] (hold): Interact"""
"crosssection_friction_low","Good cutting","Colour code on the cross-section analysis display: a green line means that this edge is good for cutting, because it has low friction."
"crosssection_friction_high","Too steep","Colour code on the cross-section analysis display: a red line means that this edge is too steep and thus not good for cutting, because a lot of energy is lost to friction."
"creativemode_togglecontrols","Toggle Blade Controls","Tooltip on button in creative mode to switch between hammer controls and slider controls, see key settingsmenu_bladecontrols_title"
"game_restartcomission","Restart Commisson","Button Caption in Story Mode to reset a commission."
"game_restartcomission_confirmation","Restarting this commission will reset your sword. Your resources will be returned to you.","Confirmation displayed to the player when they reset a commission, i.e. refund their resources and start with a fresh sword"
"swordtrait_sharpness_razorsharp","Razor-sharp edge","A trait of a sword: The Edge is razor-sharp"
"swordtrait_sharpness_razorsharp_tooltip","Sharpen the egdes to a very small angle. These edges will dull or chip easily, but will be razor-sharp.",""
"swordtrait_sharpness_sturdy","Sturdy edge","A trait of a sword: The Edge is sturdy"
"swordtrait_sharpness_sturdy_tooltip","Sharpen the egdes to a medium angle. These edges won’t be razor-sharp, but they will hold without dulling easily.",""
"swordtrait_sharpness_blunt","Blunt edge","A trait of a sword: The Edge is blunt"
"swordtrait_sharpness_blunt_tooltip","Keep the edges blunt – this sword is not meant for cutting.",""
"swordtrait_point_broad","Broad point","A trait of a sword: The sword needs a broad point, somewhat obtuse or rounded in shape"
"swordtrait_point_broad_tooltip","Forge a rather broad or rounded point. Stabbing is not this sword’s primary purpose.",""
"swordtrait_point_medium","Regular point","A trait of a sword: The sword needs a regular point, balanced between broad and narrow"
"swordtrait_point_medium_tooltip","Forge a well-balanced point – not too narrow, not too broad.",""
"swordtrait_point_narrow","Narrow point","A trait of a sword: The sword needs a narrow point, very acute in shape"
"swordtrait_point_narrow_tooltip","Forge a narrow, acute point that will be ideal for stabbing.",""
"swordtrait_point_blunt","Blunt point","A trait of a sword: The sword needs a blunt point, e.g. fit for non-lethal combat."
"swordtrait_point_blunt_tooltip","Keep the point blunt – this sword is not meant for stabbing.",""
"swordtrait_peens","{0} peens","A trait of a sword: The sword needs a given amount of parts"
"swordtrait_peens_tooltip","Use at least the given amount of peens on your sword.",""
"swordtrait_peens_unique","{0} unique peens","A trait of a sword: The sword needs a given amount of unique parts"
"swordtrait_peens_unique_tooltip","Use at least the given amount of unique peens on your sword.",""
"swordtrait_risers","{0} risers","A trait of a sword: The sword needs a given amount of parts"
"swordtrait_risers_tooltip","Use at least the given amount of risers on your sword.",""
"swordtrait_ferrules","{0} ferrules","A trait of a sword: The sword needs a given amount of parts"
"swordtrait_ferrules_tooltip","Use at least the given amount of ferrules on your sword.",""
"swordtrait_engravings","{0} engravings","A trait of a sword: The sword needs a given amount of parts"
"swordtrait_engravings_tooltip","Use at least the given amount of engravings on your sword.",""
"swordtrait_engravings_unique","{0} unique engravings","A trait of a sword: The sword needs a given amount of unique parts"
"swordtrait_engravings_unique_tooltip","Use at least the given amount of unique engravings on your sword.",""
"swordtrait_polish_low","Rough polish","A trait of a sword"
"swordtrait_polish_low_tooltip","Keep the blade’s finish rough.",""
"swordtrait_polish_medium","Matte polish","A trait of a sword"
"swordtrait_polish_medium_tooltip","Lightly polish the blade to a matte finish.",""
"swordtrait_polish_high","Mirror polish","A trait of a sword"
"swordtrait_polish_high_tooltip","Polish the blade to a sheen.",""
"swordtrait_special_mysterioussigil","Use the mysterious sigil","A special sword trait, asking the player to use a specific engraving (the mysterious sigil)."
"swordtrait_special_mysterioussigil_tooltip","Engrave the mysterious sigil anywhere on your sword.","A special sword trait, asking the player to use a specific engraving (the mysterious sigil)."
"swordtrait_special_blackstone","Use the black stone","A special sword trait, asking the player to use a specific part (the black stone, also known as the Eye of Nadredd)."
"swordtrait_special_blackstone_tooltip","Place the Eye of Nadredd anywhere on your sword.","A special sword trait, asking the player to use a specific part (the black stone, also known as the Eye of Nadredd)."
"forging_abilityhistory_empty_hint","Add an ability to start shaping the blade.","Placeholder text in applied abilities box when no abilities are added yet."
"skills_ability_swordsmithingbasics","Swordsmithing Basics","Skill title"
"skills_advancedswordsmithing","Advanced Swordsmithing","Skill title"
"skills_organisedmind","Organised Mind","Skill title"
"skills_curvedblade_mastery","Curved Blade Mastery","Skill title"
"skills_straightblade_mastery","Straight Blade Mastery","Skill title"
"skills_doubleedged_mastery","Double-Edged Blade Mastery","Skill title"
"skills_singleedged_mastery","Single-Edged Blade Mastery","Skill title"
"skills_lightsword_mastery","Light Sword Mastery","Skill title"
"skills_heavysword_mastery","Heavy Sword Mastery","Skill title"
"skills_engraving","Engraver","Skill title"
"skills_engravingmaterials","Engraving Materials","Skill title"
"skills_engravingmaterials_unlock","Allows you to apply materials to engravings.",""
"skills_engraving_mastery","Engraving Mastery","Skill title"
"skills_cheaperresources","Hoarder","Skill title. Decreases the price of resources at vendors. ""Hoarder"" is a person who hoards a lot of something, in this case, resources."
"skills_cheaperresources_unlock","Vendors give you a {Mul}% discount on resources.",""
"skills_betterbonusitems","Token of Trust","Skill title. Customers give you more rewards, because they trust you and honour your work."
"skills_betterbonusitems_unlock","Customers sometimes give better commission rewards.",""
"skills_bettersellingprice","Skilled {Gender}|gender(Salesman,Saleswoman,Salesperson)","Skill title. Better prices when selling goods to vendors."
"skills_bettersellingprice_unlock","Vendors pay {Mul}% more for anything you sell.",""
"skills_reducedupkeep","Bookkeeping","Skill title. Reduces daily upkeep through clever bookkeeping."
"skills_cheaperbooks","Bookworm","Skill title. A bookworm is an avid reader; reduces the price of books at vendors."
"skills_cheaperbooks_unlock","Vendors give you a {Mul}% discount on books.",""
"skills_material_mastery","Material Mastery",""
"skills_advancedbladeshaping","Advanced Blade Shaping",""
"skills_flamboyance_unlock","Unlocks the ability: Flamboyance",""
"skills_narrowgrind_unlock","Unlocks the ability: Narrow (grind)",""
"skills_sidefullers","Ability: Side Fullers",""
"skills_advancedpolishing","Ability: Advanced Polishing",""
"skills_advancedpolishing_unlock","Unlocks advanced polishing variants.","Text inside the sanding skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"forging_hint_notenoughresources_icon","Not enough {0}","Warning displayed when the player doesn't have enough of a specific resource for an action. The icon of the resource will be inserted for {0}."
"forging_button_addability","Add an ability to shape the blade.",""
"forging_button_togglehammerdirection","Switch the direction of your hammering. Use this to undo changes.","Tooltip on a button to toggle hammering direction. E.g., if the player previous broadened a sword with each hammer stroke, they will after clicking the button narrow it with each hamme stroke."
"forging_button_deleteability","Delete the selected blade ability.","Tooltip on a button"
"forging_button_bladeside","Toggle whether an ability affects both sides of the blade, or only left/right.","Tooltip of the symmetry button, where players can change the side of the blade they are working on."
"skills_scaling_title","Sword Part Scaling","Skill title. Allows making sword parts bigger or smaller."
"skills_scaling_unlock","Allows you to scale sword parts.",""
"skills_treasurehunter","Treasure Hunter",""
"skills_treasurehunter_unlock","Your treasure hunter is more likely to return with more valuable finds.","The dog Chlodo brings home treasure once in a while. This skill increases both frequency and value of this treasure."
"skills_focusfunctional","Practical Mastery",""
"skills_focusfunctional_unlock","Commissions with a focus on function pay {Mul}% better.",""
"skills_focusdecorative","Aesthetic Mastery",""
"skills_focusdecorative_unlock","Commissions with a focus on aesthetics pay {Mul}% better.",""
"skills_unlock_engraving","Unlocks engraving of blade and sword parts.",""
"skills_unlock_increaseattribute_toughness","Increases your Toughness by {Add}.","Skill effect, increasing the player's attribute. Please refer to attribute_toughness"
"skills_unlock_increaseattribute_diplomacy","Increases your Diplomacy by {Add}.","Skill effect, increasing the player's attribute. Please refer to attribute_diplomacy"
"skills_unlock_increaseattribute_knowledge","Increases your Knowledge by {Add}.","Skill effect, increasing the player's attribute. Please refer to attribute_knowledge"
"skills_unlock_increaseattribute_finesse","Increases your Finesse by {Add}.","Skill effect, increasing the player's attribute. Please refer to attribute_finesse"
"skills_unlock_increaseattribute_generic","Increases your {Stat} by {Add}.","Skill effect, increasing a player's stat. A name or icon might be inserted for {Stat}. If the target language is gendered, please work around the unknown gender of {Stat}."
"demo_cta_wishlistnow","Demo – Wishlist Now!","Denoting the current version being played (demo version), and asking the player to wishlist"
"demo_cta_buynow","Demo – Buy Now!","Denoting the current version being played (demo version), and asking the player to buy now"
"cta_button_wishlist","Add to Wishlist","Button for the player to open the Steam page and add Bladesong to their wishlist"
"cta_button_buy","Buy Bladesong","Button for the player to open the Steam page and buy Bladesong"
"demo_limitation_generic","Available in the full game.","Tooltip or similar hint shown on things disabled in the demo version, available in the full game."
"demo_limitation_3dprinting","STL export for 3D printing is available in the full version of Bladesong.","Displayed in the Bladesong Demo. Exporting your swords for 3D printing is only available in the paid version. The STL file format is a common format used in 3D printing."
"demo_limitation_viewonly","In the demo version, this sword may only be viewed. Edit swords without limits in the full game.","Displayed in the Bladesong Demo. Exporting your swords for 3D printing is only available in the paid version. The STL file format is a common format used in 3D printing."
"demo_limitation_viewonly_viewbutton","View the sword","A button displayed alongside the demo_limitation_viewonly hint. When clicked, the sword is displayed and the player can view it."
"demo_ads_thankyou","Thank you for trying out Bladesong!","Message displayed on a screen asking the player to buy the full game"
"demo_ads_demoendsfornow","The demo ends here ... for now.","Message displayed on a screen asking the player to buy the full game"
"demo_ads_demoends","The demo ends here.","Message displayed on a screen asking the player to buy the full game"
"demo_usp_erenkeepforge","Enter Eren Keep to claim your forge","Selling point displayed on a screen asking the player to buy the full game"
"demo_usp_unlockpartsandmaterials","Unlock a wealth of sword parts and materials","Selling point displayed on a screen asking the player to buy the full game"
"demo_usp_crew","Find loyal companions and build your crew","Selling point displayed on a screen asking the player to buy the full game"
"demo_usp_factions","Uncover Eren Keep’s secrets and earn the trust of its various factions","Selling point displayed on a screen asking the player to buy the full game"
"demo_ads_moreswordmaking","More swordmaking awaits in the full game!","Message displayed on a screen asking the player to buy the full game"
"demo_usp_ultimateswordmaking","Craft legendary swords in the ultimate swordmaking game","Message displayed on a screen asking the player to buy the full game"
"demo_usp_claimforge","Claim your forge in Eren Keep and hire loyal companions","Selling point displayed on a screen asking the player to buy the full game"
"demo_usp_limitlessswordmaking","Limitless swordmaking with all abilities, sword parts and materials","Selling point displayed on a screen asking the player to buy the full game"
"demo_usp_sharing","Share editable swords using Magic Words and export them for 3D printing","Selling point displayed on a screen asking the player to buy the full game"
"demo_limitation_section_editableswords","Editable Swords ({0}/{1})","Headline for a section of swords the player is allowed to edit in the demo, also displaying the current number of editable swords {0} and the maximum number of editable swords that can be created {1}."
"demo_limitation_section_viewonly","Demo version – view only","Headline for a section of swords that can only be viewed, not edited in the demo version of Bladesong."
"demo_limitation_unlimitedslots","Create unlimited swords in the full game.","Message displayed on a screen asking the player to buy the full game"
"discord","Discord","A button or link for the player to join the official Bladesong Discord server, see https://discord.com/ if you are unfamiliar"
"creativemode_discord_tooltip","Find more Magic Words on the official Bladesong Discord!","A hint telling the player where to find more Magic Words sharecodes"
"demo_ads_3dprinting","Create an unlimited amount of swords in the full game!","Message displayed on a screen asking the player to buy the full game"
"demo_usp_editmagicwords","Freely edit swords from Magic Words share codes","Message displayed on a screen asking the player to buy the full game"
"demo_usp_environments","More environments for beautiful screenshots and videos","Message displayed on a screen asking the player to buy the full game"
"demo_usp_3dprinting","Export your swords for 3D printing","Message displayed on a screen asking the player to buy the full game"
"itemtype_all","All","Special item category for filtering: Show all items."
"itemtype_resource","Resource","Item category displayed for resources like steel, wood, leather, gold..."
"itemtype_swordpartbook","Book","Item category displayed for sword part books that teach the player new swords parts."
"itemtype_pigment","Pigment","Item category displayed for pigments that allow the player to dye leather."
"itemtype_consumable","Consumable","Item category displayed for consumables like potions, food or edible herbs."
"itemtype_container","Container","Item category displayed for containers that can be opened to reveal their contents (typically money or other items)."
"itemtype_salvageable","Scrap","Item category displayed for things that can be salvaged to yield resources."
"itemtype_misc","Misc.","Item category displayed for miscellaneous items that can be salvaged for resources or sold."
"itemtype_questitem","Quest","Item category displayed for items relevant to an active quest."
"buff_hungover_name","Hungover",""
"buff_hungover_description","Someone had a little too much to drink. Reduces your AP and Knowledge.",""
"buff_wounded_name","Wounded",""
"buff_wounded_description","You’re suffering, and so is your productivity. Reduces your AP and Toughness.",""
"buff_exhausted_name","Exhausted",""
"buff_exhausted_description","So... tired... Reduces your AP and Finesse.",""
"buff_wellfed_name","Well-Fed",""
"buff_wellfed_description","A hearty meal has steeled you for the day ahead. Increases your AP and Toughness.",""
"buff_inspired_name","Inspired",""
"buff_inspired_description","You’re crackling with energy, brimming with ideas. Increases your earned XP and Diplomacy.",""
"buff_disreputable_name","Disreputable",""
"buff_disreputable_description","Ugly rumours are spreading. Reduces your daily Commissions and Diplomacy.",""
"buff_haunted_name","Haunted",""
"buff_haunted_description","Darkness seeps at the edges of your sight. Reduces your AP and all attributes.",""
"faction_crows","Crows","Name of an in-game faction. The Crows are a loose bunch of mercenaries and scavengers who roam the wastelands and pick the loot off the dying world, or sell their sword to the highest bidder."
"faction_magisterium","Magisterium","Name of an in-game faction. The Magisterium is a highly organized group of scholars who have made it their mission to restore the world's body of knowledge after the game's cataclysmic events by gathering and copying every book they can."
"faction_houndsburgleague","Houndsburg League","Name of an in-game faction. The Houndsburg League are a powerful and ruthless trading organization. They offer protection to their members, and extortion to those who refuse to join their umbrella."
"game_questonholdmessage","This quest will continue in a future early access update.",""
"game_questfinishedmessage","This quest is concluded.",""
"game_cap_finishedmainquest","You have reached the end of Bladesong’s main quest. Your journey will continue in a future early access update. Until then, feel free to explore side quests, or try out Creative Mode!",""
"game_cap_maxlevel","You have just reached level {0}, which is the maximum level at this time. You can still gather some XP, but you will not be able to advance to level {1}. This cap will be raised in a future early access update.",""
"game_cap_maxfactionrank","You have reached a maximum faction rank ({0} – rank {1}). You can still gather some reputation, but you will not be able to advance to rank {2}. This cap will be raised in a future early access update.",""
"commissiontype_focus","Focus: {0}","Displayed to the player to denote the focus of a commissions. A commission focus (functionl, aesthetics) is inserted for {0}."
"commissiontype_functional","Function",""
"commissiontype_decorative","Aesthetics",""
"commissiontype_repair","Maintenance",""
"license_note","Before you can share or export your creation, you must first agree to our terms of use specific to the content created.","Message displayed to the player upon first open of the share/export menu."
"license_confirm","I confirm I have read and accept the above terms.","Caption on checkbox to confirm terms of use."
"privacypolicy","Privacy Policy","Caption of a link to the game's privacy policy."
"assettermsofuse","Asset Terms of Use","Caption of a link to the game's terms of use for exported assets."
"celebration_factionrank","Rank reached!","Displayed to the player when a new faction rank is reached."
"celebration_swordpartbook","New sword part book!","Displayed to the player when a new sword part book is obtained."
"celebration_pigment","New pigment!","Displayed to the player when a dye/pigment is obtained, unlocking a new in-game colour for e.g. leather."
"celebration_questcompleted","Quest completed!","Displayed to the player when a quest is completed."
"celebration_swordparts","New Sword Parts unlocked!","Displayed to the player when a new sword part book is obtained, describing its effect (i.e. giving the player access to new sword parts)."
"campaignmode_caption_resourcepanel","Used Resources","Caption of a panel showing the resources currently in use on a sword."
